Jelly            Choco            Mint       	Sugar		 (Customer:c1)
4		 4		 0		 0
5		 9		 4		 4
7		 20		 10		 9
8		 21		 23		 10
9		 25		 24		 14
20		 35		 31		 15
21		 36		 37		 20
22		 37		 38		 25
36		 43		 39		 35
37		 44		 40		 36
41		 45		 41		 37
42		 46		 43		 39

Jelly            Choco            Mint       	Sugar		 (Customer:c2)
0		 0		 1		 1
1		 1		 2		 2
2		 2		 3		 3
3		 3		 5		 5
6		 5		 6		 6
10		 6		 7		 7
11		 7		 8		 8
12		 8		 9		 12
13		 10		 11		 13
14		 11		 12		 16
15		 12		 13		 17
16		 13		 14		 18

Jelly            Choco            Mint       	Sugar		 (Customer:c3)
23		 22		 42		 11
31		 38		 46		 19
50		 55		 47		 29
53		 58		 48		 38
60		 59		 52		 41
61		 60		 53		 45
62		 61		 54		 46
63		 63		 55		 47
64		 64		 56		 53
65		 65		 60		 59
66		 66		 61		 60
70		 67		 62		 61

Jelly            Choco            Mint       	Sugar		 (Customer:c4)
100		 88		 84		 88
101		 89		 85		 89
102		 90		 86		 90
103		 91		 87		 91
104		 92		 88		 92
105		 93		 89		 93
106		 94		 90		 94
107		 95		 91		 95
108		 96		 92		 96
109		 97		 93		 97
110		 98		 94		 98
111		 99		 95		 99
